    ---------------------------------------------------------------------

                         MEMBERS TELEPHONE DIRECTORY

                           (AND ROOM ASSIGNMENTS)

                                   OF THE

                           UNITED STATES CONGRESS

                              ----------------

                         ONE HUNDRED SIXTH CONGRESS

                              ----------------
                        Corrected to January 3, 1999

      Compiled by JEFF TRANDAHL, Clerk of the House of Representatives
                          http://clerkweb.house.gov
    ---------------------------------------------------------------------
    (Republicans in roman; Democrats in italic; Independents underlined;
                                  Resident
 Commissioners and Delegates in boldface. Members who have died or resigned
                            in bold brackets [])
                 All phone numbers are in area code (202).
             Room numbers with  3 digits are in the Cannon HOB,
  4 digits beginning with  1 are in the Longworth HOB, and  4 digits beginning
                       with  2 are in the Rayburn HOB
             --------------------------------------------------
Name	State	District	Phone	Room

Abercrombie, Neil	HI	1	225-2726	1502
Ackerman, Gary L.	NY	5	225-2601	2243
Aderholt, Robert B.	AL	4	225-4876	1007
Allen, Thomas H.	ME	1	225-6116	1717
Andrews, Robert E.	NJ	1	225-6501	2439
Archer, Bill	TX	7	225-2571	1236
Armey, Richard K.	TX	26	225-7772	301
Bachus, Spencer	AL	6	225-4921	442
Baird, Brian	WA	3	225-3536	1721
Baker, Richard H.	LA	6	225-3901	434
Baldacci, John Elias	ME	2	225-6306	1740
Baldwin, Tammy	WI	2	225-2906	1020
Ballenger, Cass	NC	10	225-2576	2182
Barcia, James A.	MI	5	225-8171	2419
Barr, Bob	GA	7	225-2931	1207
Barrett, Bill	NE	3	225-6435	2458
Barrett, Thomas M.	WI	5	225-3571	1214
Bartlett, Roscoe G.	MD	6	225-2721	2412
Barton, Joe	TX	6	225-2002	2264
Bass, Charles F.	NH	2	225-5206	218
Bateman, Herbert H.	VA	1	225-4261	2211
Becerra, Xavier	CA	30	225-6235	1119
Bentsen, Ken	TX	25	225-7508	326
Bereuter, Doug	NE	1	225-4806	2184
Berkley, Shelley	NV	1	225-5965	1505
Berman, Howard L.	CA	26	225-4695	2330
Berry, Marion	AR	1	225-4076	1113
Biggert, Judy	IL	13	225-3515	508
Bilbray, Brian P.	CA	49	225-2040	1530
Bilirakis, Michael	FL	9	225-5755	2369
